node,Yeo
Amps_Schaefer_1,1
Amps_Schaefer_2,1
Amps_Schaefer_3,1
Amps_Schaefer_4,1
Amps_Schaefer_5,1
Amps_Schaefer_6,1
Amps_Schaefer_7,1
Amps_Schaefer_8,1
Amps_Schaefer_9,1
Amps_Schaefer_10,1
Amps_Schaefer_11,1
Amps_Schaefer_12,1
Amps_Schaefer_13,1
Amps_Schaefer_14,1
Amps_Schaefer_15,1
Amps_Schaefer_16,1
Amps_Schaefer_17,1
Amps_Schaefer_18,1
Amps_Schaefer_19,1
Amps_Schaefer_20,1
Amps_Schaefer_21,2
Amps_Schaefer_22,2
Amps_Schaefer_23,2
Amps_Schaefer_24,2
Amps_Schaefer_25,2
Amps_Schaefer_26,2
Amps_Schaefer_27,2
Amps_Schaefer_28,2
Amps_Schaefer_29,2
Amps_Schaefer_30,2
Amps_Schaefer_31,2
Amps_Schaefer_32,2
Amps_Schaefer_33,2
Amps_Schaefer_34,2
Amps_Schaefer_35,2
Amps_Schaefer_36,2
Amps_Schaefer_37,2
Amps_Schaefer_38,2
Amps_Schaefer_39,2
Amps_Schaefer_40,2
Amps_Schaefer_41,2
Amps_Schaefer_42,2
Amps_Schaefer_43,2
Amps_Schaefer_44,2
Amps_Schaefer_45,2
Amps_Schaefer_46,2
Amps_Schaefer_47,2
Amps_Schaefer_48,1
Amps_Schaefer_49,3
Amps_Schaefer_50,1
Amps_Schaefer_51,3
Amps_Schaefer_52,1
Amps_Schaefer_53,3
Amps_Schaefer_54,3
Amps_Schaefer_55,3
Amps_Schaefer_56,3
Amps_Schaefer_57,2
Amps_Schaefer_58,3
Amps_Schaefer_59,3
Amps_Schaefer_60,2
Amps_Schaefer_61,3
Amps_Schaefer_62,3
Amps_Schaefer_63,3
Amps_Schaefer_64,4
Amps_Schaefer_65,4
Amps_Schaefer_66,4
Amps_Schaefer_67,4
Amps_Schaefer_68,4
Amps_Schaefer_69,4
Amps_Schaefer_70,4
Amps_Schaefer_71,4
Amps_Schaefer_72,4
Amps_Schaefer_73,4
Amps_Schaefer_74,4
Amps_Schaefer_75,4
Amps_Schaefer_76,6
Amps_Schaefer_77,4
Amps_Schaefer_78,4
Amps_Schaefer_79,6
Amps_Schaefer_80,5
Amps_Schaefer_81,5
Amps_Schaefer_82,5
Amps_Schaefer_83,5
Amps_Schaefer_84,5
Amps_Schaefer_85,5
Amps_Schaefer_86,5
Amps_Schaefer_87,5
Amps_Schaefer_88,5
Amps_Schaefer_89,6
Amps_Schaefer_90,6
Amps_Schaefer_91,6
Amps_Schaefer_92,3
Amps_Schaefer_93,3
Amps_Schaefer_94,3
Amps_Schaefer_95,6
Amps_Schaefer_96,4
Amps_Schaefer_97,6
Amps_Schaefer_98,6
Amps_Schaefer_99,3
Amps_Schaefer_100,6
Amps_Schaefer_101,7
Amps_Schaefer_102,6
Amps_Schaefer_103,6
Amps_Schaefer_104,6
Amps_Schaefer_105,6
Amps_Schaefer_106,6
Amps_Schaefer_107,7
Amps_Schaefer_108,6
Amps_Schaefer_109,6
Amps_Schaefer_110,6
Amps_Schaefer_111,7
Amps_Schaefer_112,7
Amps_Schaefer_113,7
Amps_Schaefer_114,7
Amps_Schaefer_115,7
Amps_Schaefer_116,7
Amps_Schaefer_117,7
Amps_Schaefer_118,7
Amps_Schaefer_119,7
Amps_Schaefer_120,7
Amps_Schaefer_121,7
Amps_Schaefer_122,5
Amps_Schaefer_123,7
Amps_Schaefer_124,7
Amps_Schaefer_125,7
Amps_Schaefer_126,7
Amps_Schaefer_127,7
Amps_Schaefer_128,7
Amps_Schaefer_129,7
Amps_Schaefer_130,7
Amps_Schaefer_131,7
Amps_Schaefer_132,7
Amps_Schaefer_133,7
Amps_Schaefer_134,7
Amps_Schaefer_135,7
Amps_Schaefer_136,6
Amps_Schaefer_137,7
Amps_Schaefer_138,7
Amps_Schaefer_139,7
Amps_Schaefer_140,7
Amps_Schaefer_141,7
Amps_Schaefer_142,7
Amps_Schaefer_143,5
Amps_Schaefer_144,1
Amps_Schaefer_145,1
Amps_Schaefer_146,7
Amps_Schaefer_147,7
Amps_Schaefer_148,7
Amps_Schaefer_149,7
Amps_Schaefer_150,4
Amps_Schaefer_151,1
Amps_Schaefer_152,1
Amps_Schaefer_153,1
Amps_Schaefer_154,1
Amps_Schaefer_155,1
Amps_Schaefer_156,1
Amps_Schaefer_157,1
Amps_Schaefer_158,1
Amps_Schaefer_159,1
Amps_Schaefer_160,1
Amps_Schaefer_161,1
Amps_Schaefer_162,1
Amps_Schaefer_163,1
Amps_Schaefer_164,1
Amps_Schaefer_165,1
Amps_Schaefer_166,1
Amps_Schaefer_167,1
Amps_Schaefer_168,1
Amps_Schaefer_169,1
Amps_Schaefer_170,1
Amps_Schaefer_171,2
Amps_Schaefer_172,2
Amps_Schaefer_173,2
Amps_Schaefer_174,2
Amps_Schaefer_175,2
Amps_Schaefer_176,2
Amps_Schaefer_177,2
Amps_Schaefer_178,2
Amps_Schaefer_179,2
Amps_Schaefer_180,2
Amps_Schaefer_181,2
Amps_Schaefer_182,2
Amps_Schaefer_183,2
Amps_Schaefer_184,2
Amps_Schaefer_185,2
Amps_Schaefer_186,2
Amps_Schaefer_187,2
Amps_Schaefer_188,2
Amps_Schaefer_189,2
Amps_Schaefer_190,2
Amps_Schaefer_191,2
Amps_Schaefer_192,2
Amps_Schaefer_193,2
Amps_Schaefer_194,2
Amps_Schaefer_195,3
Amps_Schaefer_196,1
Amps_Schaefer_197,3
Amps_Schaefer_198,1
Amps_Schaefer_199,3
Amps_Schaefer_200,3
Amps_Schaefer_201,3
Amps_Schaefer_202,3
Amps_Schaefer_203,2
Amps_Schaefer_204,3
Amps_Schaefer_205,3
Amps_Schaefer_206,2
Amps_Schaefer_207,3
Amps_Schaefer_208,3
Amps_Schaefer_209,3
Amps_Schaefer_210,3
Amps_Schaefer_211,4
Amps_Schaefer_212,4
Amps_Schaefer_213,4
Amps_Schaefer_214,4
Amps_Schaefer_215,4
Amps_Schaefer_216,4
Amps_Schaefer_217,4
Amps_Schaefer_218,4
Amps_Schaefer_219,4
Amps_Schaefer_220,4
Amps_Schaefer_221,4
Amps_Schaefer_222,4
Amps_Schaefer_223,4
Amps_Schaefer_224,4
Amps_Schaefer_225,4
Amps_Schaefer_226,6
Amps_Schaefer_227,6
Amps_Schaefer_228,6
Amps_Schaefer_229,6
Amps_Schaefer_230,6
Amps_Schaefer_231,4
Amps_Schaefer_232,6
Amps_Schaefer_233,6
Amps_Schaefer_234,5
Amps_Schaefer_235,5
Amps_Schaefer_236,5
Amps_Schaefer_237,5
Amps_Schaefer_238,7
Amps_Schaefer_239,5
Amps_Schaefer_240,5
Amps_Schaefer_241,5
Amps_Schaefer_242,5
Amps_Schaefer_243,5
Amps_Schaefer_244,5
Amps_Schaefer_245,3
Amps_Schaefer_246,3
Amps_Schaefer_247,3
Amps_Schaefer_248,3
Amps_Schaefer_249,3
Amps_Schaefer_250,4
Amps_Schaefer_251,6
Amps_Schaefer_252,3
Amps_Schaefer_253,6
Amps_Schaefer_254,6
Amps_Schaefer_255,6
Amps_Schaefer_256,7
